Pianista,Kraj (PL)
Hao Rao,Chiny
Martín García García,Hiszpania
Yasuko Furumi,Japonia
Aimi Kobayashi,Japonia
Miyu Shindo,Japonia
Kyōhei Sorita,Japonia
Hayato Sumino,Japonia
J J Jun Li Bui,Kanada
Bruce Liu,Kanada
Hyuk Lee,Korea Południowa
Su Yeon Kim,Korea Południowa
Piotr Alexewicz,Polska
Mateusz Krzyżowski,Polska
Jakub Kuszlik,Polska
Szymon Nehring,Polska
Kamil Pacholec,Polska
Andrzej Wierciński,Polska
Nikolay Khozyainov,Rosja
Eva Gevorgyan,Rosja/Armenia
Avery Gagliano,USA
Leonora Armellini,Włochy
Michelle Candotti,Włochy
Alexander Gadjiev,Włochy/Słowenia
